Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-10-01,,,,,,16,,,,
2017-10-01,01:00,,1,5,77,,,18,,
2017-10-01,02:00,,1,4,76,,,19,,
2017-10-01,03:00,,1,4,75,,,19,,
2017-10-01,04:00,,1,4,75,,,18,,
2017-10-01,05:00,,1,4,75,,,18,,
2017-10-01,06:00,,1,5,74,,,19,,
2017-10-01,07:00,,1,5,72,,,18,,
2017-10-01,08:00,,1,5,70,,,18,,
2017-10-01,09:00,,1,5,73,,,19,,
2017-10-01,10:00,,1,5,75,,,19,,
2017-10-01,11:00,,1,5,76,,,19,,
2017-10-01,12:00,,1,5,75,,,21,,
2017-10-01,13:00,,1,7,70,,,21,,
2017-10-01,14:00,,1,6,72,,,20,,
2017-10-01,15:00,,1,9,64,,,18,,
2017-10-01,16:00,,2,13,46,,,17,,
2017-10-01,17:00,,3,17,40,,,13,,
2017-10-01,18:00,,2,19,36,,,9,,
2017-10-01,19:00,,2,18,36,,,6,,
2017-10-01,20:00,,2,22,22,,,6,,
2017-10-01,21:00,,1,15,20,,,13,,
2017-10-01,22:00,,1,13,20,,,13,,
2017-10-01,23:00,,1,10,27,,,11,,
2017-10-02,,,,,,17,,,,
2017-10-02,00:00,,1,8,51,,,21,,
2017-10-02,01:00,,1,8,49,,,27,,
2017-10-02,02:00,,1,7,55,,,27,,
2017-10-02,03:00,,1,9,52,,,26,,
2017-10-02,04:00,,1,10,51,,,28,,
2017-10-02,05:00,,1,21,37,,,35,,
2017-10-02,06:00,,7,19,35,,,37,,
2017-10-02,07:00,,7,21,38,,,31,,
2017-10-02,08:00,,1,10,50,,,25,,
2017-10-02,09:00,,2,9,51,,,23,,
2017-10-02,10:00,,2,9,49,,,21,,
2017-10-02,11:00,,1,7,54,,,17,,
2017-10-02,12:00,,1,8,55,,,13,,
2017-10-02,13:00,,2,8,55,,,12,,
2017-10-02,14:00,,2,9,53,,,13,,
2017-10-02,15:00,,1,9,51,,,13,,
2017-10-02,16:00,,1,10,50,,,11,,
2017-10-02,17:00,,1,10,48,,,11,,
2017-10-02,18:00,,1,8,53,,,10,,
2017-10-02,19:00,,1,6,57,,,7,,
2017-10-02,20:00,,1,6,56,,,6,,
2017-10-02,21:00,,1,6,49,,,8,,
2017-10-02,22:00,,1,7,42,,,7,,
2017-10-02,23:00,,1,6,41,,,6,,
2017-10-03,,,,,,7,,,,
2017-10-03,00:00,,1,7,34,,,6,,
2017-10-03,01:00,,1,8,27,,,8,,
2017-10-03,02:00,,1,7,30,,,8,,
2017-10-03,03:00,,1,7,38,,,7,,
2017-10-03,04:00,,1,4,68,,,3,,
2017-10-03,05:00,,1,7,58,,,4,,
2017-10-03,06:00,,1,6,59,,,6,,
