Datum Zeit,Goerlitz NO2
,µg/m³
01-09-03 00:00,16
31-08-03 23:00,28
31-08-03 22:00,41
31-08-03 21:00,27
31-08-03 20:00,26
31-08-03 19:00,28
31-08-03 18:00,32
31-08-03 17:00,24
31-08-03 16:00,28
31-08-03 15:00,25
31-08-03 14:00,30
31-08-03 13:00,21
31-08-03 12:00,21
31-08-03 11:00,23
31-08-03 10:00,24
31-08-03 09:00,20
31-08-03 08:00,17
31-08-03 07:00,17
31-08-03 06:00,16
31-08-03 05:00,18
31-08-03 04:00,18
31-08-03 03:00,19
31-08-03 02:00,29
31-08-03 01:00,34
31-08-03 00:00,48
30-08-03 23:00,44
30-08-03 22:00,37
30-08-03 21:00,40
30-08-03 20:00,29
30-08-03 19:00,30
30-08-03 18:00,28
30-08-03 17:00,30
30-08-03 16:00,35
30-08-03 15:00,35
30-08-03 14:00,27
30-08-03 13:00,26
30-08-03 12:00,25
30-08-03 11:00,29
30-08-03 10:00,23
30-08-03 09:00,21
30-08-03 08:00,21
30-08-03 07:00,14
30-08-03 06:00,11
30-08-03 05:00,12
30-08-03 04:00,12
30-08-03 03:00,15
30-08-03 02:00,13
30-08-03 01:00,14
30-08-03 00:00,35
29-08-03 23:00,31
29-08-03 22:00,36
29-08-03 21:00,38
29-08-03 20:00,37
29-08-03 19:00,43
29-08-03 18:00,53
29-08-03 17:00,60
29-08-03 16:00,47
29-08-03 15:00,50
29-08-03 14:00,56
29-08-03 13:00,46
29-08-03 12:00,47
29-08-03 11:00,48
29-08-03 10:00,58
29-08-03 09:00,97
29-08-03 08:00,75
29-08-03 07:00,61
29-08-03 06:00,47
29-08-03 05:00,42
29-08-03 04:00,32
29-08-03 03:00,27
29-08-03 02:00,38
29-08-03 01:00,45
29-08-03 00:00,46
28-08-03 23:00,63
28-08-03 22:00,53
28-08-03 21:00,29
28-08-03 20:00,21
28-08-03 19:00,19
28-08-03 18:00,35
28-08-03 17:00,50
28-08-03 16:00,59
28-08-03 15:00,
28-08-03 14:00,
28-08-03 13:00,
28-08-03 12:00,
28-08-03 11:00,44
28-08-03 10:00,37
28-08-03 09:00,39
28-08-03 08:00,37
28-08-03 07:00,56
28-08-03 06:00,55
28-08-03 05:00,43
28-08-03 04:00,29
28-08-03 03:00,25
28-08-03 02:00,19
28-08-03 01:00,15
28-08-03 00:00,17
27-08-03 23:00,19
27-08-03 22:00,19
27-08-03 21:00,20
27-08-03 20:00,21
27-08-03 19:00,23
27-08-03 18:00,27
