Datum Zeit,Leipzig-West O3
,µg/m³
01-09-03 00:00,45
31-08-03 23:00,52
31-08-03 22:00,61
31-08-03 21:00,57
31-08-03 20:00,56
31-08-03 19:00,57
31-08-03 18:00,66
31-08-03 17:00,71
31-08-03 16:00,70
31-08-03 15:00,75
31-08-03 14:00,78
31-08-03 13:00,78
31-08-03 12:00,83
31-08-03 11:00,72
31-08-03 10:00,59
31-08-03 09:00,49
31-08-03 08:00,36
31-08-03 07:00,35
31-08-03 06:00,37
31-08-03 05:00,39
31-08-03 04:00,41
31-08-03 03:00,40
31-08-03 02:00,38
31-08-03 01:00,43
31-08-03 00:00,48
30-08-03 23:00,59
30-08-03 22:00,56
30-08-03 21:00,47
30-08-03 20:00,52
30-08-03 19:00,57
30-08-03 18:00,63
30-08-03 17:00,61
30-08-03 16:00,60
30-08-03 15:00,59
30-08-03 14:00,62
30-08-03 13:00,68
30-08-03 12:00,71
30-08-03 11:00,70
30-08-03 10:00,63
30-08-03 09:00,55
30-08-03 08:00,52
30-08-03 07:00,49
30-08-03 06:00,49
30-08-03 05:00,63
30-08-03 04:00,64
30-08-03 03:00,68
30-08-03 02:00,53
30-08-03 01:00,35
30-08-03 00:00,34
29-08-03 23:00,41
29-08-03 22:00,71
29-08-03 21:00,67
29-08-03 20:00,62
29-08-03 19:00,68
29-08-03 18:00,86
29-08-03 17:00,101
29-08-03 16:00,116
29-08-03 15:00,112
29-08-03 14:00,101
29-08-03 13:00,95
29-08-03 12:00,87
29-08-03 11:00,64
29-08-03 10:00,36
29-08-03 09:00,19
29-08-03 08:00,15
29-08-03 07:00,18
29-08-03 06:00,26
29-08-03 05:00,28
29-08-03 04:00,36
29-08-03 03:00,48
29-08-03 02:00,68
29-08-03 01:00,73
29-08-03 00:00,82
28-08-03 23:00,87
28-08-03 22:00,84
28-08-03 21:00,83
28-08-03 20:00,87
28-08-03 19:00,96
28-08-03 18:00,107
28-08-03 17:00,111
28-08-03 16:00,107
28-08-03 15:00,100
28-08-03 14:00,88
28-08-03 13:00,83
28-08-03 12:00,69
28-08-03 11:00,50
28-08-03 10:00,38
28-08-03 09:00,18
28-08-03 08:00,15
28-08-03 07:00,6
28-08-03 06:00,10
28-08-03 05:00,15
28-08-03 04:00,15
28-08-03 03:00,18
28-08-03 02:00,31
28-08-03 01:00,41
28-08-03 00:00,38
27-08-03 23:00,45
27-08-03 22:00,51
27-08-03 21:00,56
27-08-03 20:00,63
27-08-03 19:00,67
27-08-03 18:00,66
27-08-03 17:00,72
27-08-03 16:00,81
27-08-03 15:00,70
27-08-03 14:00,76
27-08-03 13:00,85
27-08-03 12:00,82
27-08-03 11:00,76
27-08-03 10:00,76
27-08-03 09:00,66
27-08-03 08:00,58
27-08-03 07:00,52
27-08-03 06:00,50
27-08-03 05:00,49
27-08-03 04:00,52
27-08-03 03:00,55
27-08-03 02:00,65
27-08-03 01:00,65
27-08-03 00:00,62
26-08-03 23:00,62
26-08-03 22:00,68
26-08-03 21:00,82
26-08-03 20:00,92
26-08-03 19:00,96
26-08-03 18:00,106
26-08-03 17:00,114
26-08-03 16:00,113
26-08-03 15:00,113
26-08-03 14:00,112
26-08-03 13:00,105
26-08-03 12:00,81
26-08-03 11:00,67
26-08-03 10:00,60
26-08-03 09:00,49
26-08-03 08:00,31
26-08-03 07:00,9
26-08-03 06:00,5
26-08-03 05:00,27
26-08-03 04:00,31
26-08-03 03:00,30
26-08-03 02:00,39
26-08-03 01:00,29
26-08-03 00:00,17
25-08-03 23:00,34
25-08-03 22:00,47
25-08-03 21:00,61
25-08-03 20:00,80
25-08-03 19:00,95
25-08-03 18:00,98
25-08-03 17:00,95
25-08-03 16:00,98
25-08-03 15:00,93
25-08-03 14:00,84
25-08-03 13:00,79
25-08-03 12:00,73
25-08-03 11:00,63
25-08-03 10:00,53
25-08-03 09:00,43
25-08-03 08:00,30
25-08-03 07:00,24
25-08-03 06:00,29
25-08-03 05:00,42
25-08-03 04:00,46
25-08-03 03:00,47
25-08-03 02:00,35
25-08-03 01:00,34
25-08-03 00:00,41
24-08-03 23:00,49
24-08-03 22:00,56
24-08-03 21:00,61
24-08-03 20:00,65
24-08-03 19:00,72
24-08-03 18:00,74
24-08-03 17:00,76
24-08-03 16:00,79
24-08-03 15:00,78
24-08-03 14:00,76
24-08-03 13:00,72
24-08-03 12:00,75
24-08-03 11:00,75
24-08-03 10:00,68
24-08-03 09:00,60
24-08-03 08:00,56
24-08-03 07:00,54
24-08-03 06:00,51
24-08-03 05:00,53
24-08-03 04:00,55
24-08-03 03:00,61
24-08-03 02:00,60
24-08-03 01:00,55
24-08-03 00:00,42
23-08-03 23:00,36
23-08-03 22:00,40
23-08-03 21:00,45
23-08-03 20:00,43
23-08-03 19:00,50
23-08-03 18:00,65
23-08-03 17:00,54
23-08-03 16:00,34
23-08-03 15:00,34
23-08-03 14:00,34
23-08-03 13:00,68
23-08-03 12:00,62
23-08-03 11:00,56
23-08-03 10:00,51
23-08-03 09:00,42
23-08-03 08:00,35
23-08-03 07:00,35
23-08-03 06:00,35
23-08-03 05:00,37
23-08-03 04:00,39
23-08-03 03:00,39
23-08-03 02:00,43
23-08-03 01:00,47
23-08-03 00:00,50
22-08-03 23:00,56
22-08-03 22:00,70
22-08-03 21:00,81
22-08-03 20:00,95
22-08-03 19:00,112
22-08-03 18:00,125
22-08-03 17:00,135
22-08-03 16:00,137
22-08-03 15:00,142
22-08-03 14:00,143
22-08-03 13:00,131
22-08-03 12:00,124
22-08-03 11:00,110
22-08-03 10:00,87
22-08-03 09:00,69
22-08-03 08:00,48
22-08-03 07:00,29
22-08-03 06:00,11
22-08-03 05:00,39
22-08-03 04:00,39
22-08-03 03:00,39
22-08-03 02:00,43
22-08-03 01:00,39
22-08-03 00:00,34
21-08-03 23:00,38
21-08-03 22:00,38
21-08-03 21:00,46
21-08-03 20:00,116
21-08-03 19:00,128
21-08-03 18:00,135
21-08-03 17:00,140
21-08-03 16:00,141
21-08-03 15:00,134
21-08-03 14:00,122
21-08-03 13:00,131
21-08-03 12:00,113
21-08-03 11:00,80
21-08-03 10:00,61
21-08-03 09:00,39
21-08-03 08:00,20
21-08-03 07:00,13
21-08-03 06:00,3
21-08-03 05:00,4
21-08-03 04:00,24
21-08-03 03:00,37
21-08-03 02:00,42
21-08-03 01:00,41
21-08-03 00:00,44
20-08-03 23:00,55
20-08-03 22:00,71
20-08-03 21:00,83
20-08-03 20:00,101
20-08-03 19:00,110
20-08-03 18:00,119
20-08-03 17:00,115
20-08-03 16:00,112
20-08-03 15:00,103
20-08-03 14:00,93
20-08-03 13:00,79
20-08-03 12:00,72
20-08-03 11:00,62
20-08-03 10:00,55
20-08-03 09:00,52
20-08-03 08:00,49
20-08-03 07:00,45
20-08-03 06:00,50
20-08-03 05:00,53
20-08-03 04:00,57
20-08-03 03:00,60
20-08-03 02:00,59
20-08-03 01:00,61
20-08-03 00:00,66
19-08-03 23:00,68
19-08-03 22:00,74
19-08-03 21:00,77
19-08-03 20:00,78
19-08-03 19:00,92
19-08-03 18:00,88
19-08-03 17:00,81
19-08-03 16:00,83
19-08-03 15:00,74
19-08-03 14:00,82
19-08-03 13:00,99
19-08-03 12:00,86
19-08-03 11:00,70
19-08-03 10:00,49
19-08-03 09:00,46
19-08-03 08:00,44
19-08-03 07:00,46
19-08-03 06:00,52
19-08-03 05:00,47
19-08-03 04:00,58
19-08-03 03:00,68
19-08-03 02:00,67
19-08-03 01:00,73
19-08-03 00:00,85
18-08-03 23:00,85
18-08-03 22:00,81
18-08-03 21:00,80
18-08-03 20:00,98
18-08-03 19:00,108
18-08-03 18:00,117
18-08-03 17:00,130
18-08-03 16:00,136
18-08-03 15:00,134
18-08-03 14:00,126
18-08-03 13:00,123
18-08-03 12:00,122
18-08-03 11:00,95
18-08-03 10:00,33
18-08-03 09:00,17
18-08-03 08:00,14
18-08-03 07:00,13
18-08-03 06:00,37
18-08-03 05:00,69
18-08-03 04:00,82
18-08-03 03:00,89
18-08-03 02:00,94
18-08-03 01:00,100
18-08-03 00:00,103
17-08-03 23:00,105
17-08-03 22:00,107
17-08-03 21:00,109
17-08-03 20:00,119
17-08-03 19:00,133
17-08-03 18:00,146
17-08-03 17:00,151
17-08-03 16:00,149
17-08-03 15:00,142
17-08-03 14:00,134
17-08-03 13:00,124
17-08-03 12:00,109
17-08-03 11:00,99
17-08-03 10:00,89
17-08-03 09:00,74
17-08-03 08:00,62
17-08-03 07:00,49
17-08-03 06:00,43
17-08-03 05:00,38
17-08-03 04:00,36
17-08-03 03:00,24
17-08-03 02:00,25
17-08-03 01:00,37
17-08-03 00:00,57
16-08-03 23:00,68
16-08-03 22:00,75
16-08-03 21:00,83
16-08-03 20:00,98
16-08-03 19:00,98
16-08-03 18:00,103
16-08-03 17:00,106
16-08-03 16:00,108
16-08-03 15:00,105
16-08-03 14:00,102
16-08-03 13:00,101
16-08-03 12:00,93
16-08-03 11:00,81
16-08-03 10:00,78
16-08-03 09:00,70
16-08-03 08:00,56
16-08-03 07:00,38
16-08-03 06:00,30
16-08-03 05:00,25
16-08-03 04:00,22
16-08-03 03:00,47
16-08-03 02:00,50
16-08-03 01:00,49
16-08-03 00:00,52
15-08-03 23:00,50
15-08-03 22:00,57
15-08-03 21:00,73
15-08-03 20:00,85
15-08-03 19:00,106
15-08-03 18:00,94
15-08-03 17:00,92
15-08-03 16:00,91
15-08-03 15:00,88
15-08-03 14:00,86
15-08-03 13:00,78
15-08-03 12:00,77
15-08-03 11:00,71
15-08-03 10:00,63
15-08-03 09:00,57
15-08-03 08:00,36
15-08-03 07:00,27
15-08-03 06:00,29
15-08-03 05:00,52
15-08-03 04:00,54
15-08-03 03:00,58
15-08-03 02:00,61
15-08-03 01:00,63
15-08-03 00:00,67
14-08-03 23:00,69
14-08-03 22:00,73
14-08-03 21:00,91
14-08-03 20:00,107
14-08-03 19:00,119
14-08-03 18:00,124
14-08-03 17:00,109
14-08-03 16:00,105
14-08-03 15:00,103
14-08-03 14:00,80
14-08-03 13:00,74
14-08-03 12:00,83
14-08-03 11:00,72
14-08-03 10:00,59
14-08-03 09:00,74
14-08-03 08:00,74
14-08-03 07:00,64
14-08-03 06:00,67
14-08-03 05:00,75
14-08-03 04:00,82
14-08-03 03:00,77
14-08-03 02:00,82
14-08-03 01:00,87
14-08-03 00:00,98
13-08-03 23:00,105
13-08-03 22:00,116
13-08-03 21:00,126
13-08-03 20:00,139
13-08-03 19:00,149
13-08-03 18:00,165
13-08-03 17:00,167
13-08-03 16:00,151
13-08-03 15:00,199
13-08-03 14:00,209
13-08-03 13:00,215
13-08-03 12:00,209
13-08-03 11:00,181
13-08-03 10:00,158
13-08-03 09:00,147
13-08-03 08:00,121
13-08-03 07:00,109
13-08-03 06:00,119
13-08-03 05:00,130
13-08-03 04:00,128
13-08-03 03:00,114
13-08-03 02:00,110
13-08-03 01:00,107
13-08-03 00:00,102
12-08-03 23:00,116
12-08-03 22:00,125
12-08-03 21:00,132
12-08-03 20:00,163
12-08-03 19:00,175
12-08-03 18:00,182
12-08-03 17:00,191
12-08-03 16:00,183
12-08-03 15:00,172
12-08-03 14:00,153
12-08-03 13:00,130
