Datum Zeit,Bautzen BEN
,µg/m³
01-09-00 00:00,1.4
31-08-00 23:00,1.2
31-08-00 22:00,1.3
31-08-00 21:00,1.8
31-08-00 20:00,2.0
31-08-00 19:00,1.6
31-08-00 18:00,1.6
31-08-00 17:00,1.5
31-08-00 16:00,1.6
31-08-00 15:00,1.5
31-08-00 14:00,1.3
31-08-00 13:00,1.4
31-08-00 12:00,1.3
31-08-00 11:00,1.2
31-08-00 10:00,1.3
31-08-00 09:00,1.0
31-08-00 08:00,1.9
31-08-00 07:00,2.6
31-08-00 06:00,1.8
31-08-00 05:00,1.1
31-08-00 04:00,0.7
31-08-00 03:00,0.7
31-08-00 02:00,0.6
31-08-00 01:00,0.7
31-08-00 00:00,0.9
30-08-00 23:00,1.2
30-08-00 22:00,2.0
30-08-00 21:00,2.0
30-08-00 20:00,1.7
30-08-00 19:00,2.1
30-08-00 18:00,1.4
30-08-00 17:00,1.2
30-08-00 16:00,1.5
30-08-00 15:00,0.9
30-08-00 14:00,0.9
30-08-00 13:00,0.8
30-08-00 12:00,0.9
30-08-00 11:00,1.0
30-08-00 10:00,1.1
30-08-00 09:00,1.9
30-08-00 08:00,3.2
30-08-00 07:00,4.1
30-08-00 06:00,2.6
30-08-00 05:00,1.7
30-08-00 04:00,1.1
30-08-00 03:00,0.9
30-08-00 02:00,1.1
30-08-00 01:00,1.3
30-08-00 00:00,1.5
29-08-00 23:00,1.8
29-08-00 22:00,1.9
29-08-00 21:00,2.6
29-08-00 20:00,2.0
29-08-00 19:00,1.4
29-08-00 18:00,0.8
29-08-00 17:00,0.9
29-08-00 16:00,1.2
29-08-00 15:00,1.0
29-08-00 14:00,1.3
29-08-00 13:00,1.5
29-08-00 12:00,0.9
29-08-00 11:00,0.9
29-08-00 10:00,1.1
29-08-00 09:00,1.2
29-08-00 08:00,2.5
29-08-00 07:00,4.6
29-08-00 06:00,3.3
29-08-00 05:00,1.8
29-08-00 04:00,1.4
29-08-00 03:00,1.1
29-08-00 02:00,1.1
29-08-00 01:00,1.2
29-08-00 00:00,1.0
28-08-00 23:00,1.0
28-08-00 22:00,1.3
28-08-00 21:00,1.3
28-08-00 20:00,1.4
28-08-00 19:00,1.3
28-08-00 18:00,
28-08-00 17:00,
28-08-00 16:00,
28-08-00 15:00,
28-08-00 14:00,
28-08-00 13:00,
28-08-00 12:00,1.0
28-08-00 11:00,1.1
28-08-00 10:00,0.9
28-08-00 09:00,1.0
28-08-00 08:00,1.1
28-08-00 07:00,1.3
28-08-00 06:00,1.2
28-08-00 05:00,0.7
28-08-00 04:00,0.7
28-08-00 03:00,0.7
28-08-00 02:00,0.7
28-08-00 01:00,0.9
28-08-00 00:00,0.8
27-08-00 23:00,1.0
27-08-00 22:00,1.2
27-08-00 21:00,1.5
27-08-00 20:00,0.7
27-08-00 19:00,0.8
27-08-00 18:00,0.6
27-08-00 17:00,0.5
27-08-00 16:00,0.5
27-08-00 15:00,0.4
27-08-00 14:00,0.5
27-08-00 13:00,0.4
27-08-00 12:00,0.4
27-08-00 11:00,0.4
27-08-00 10:00,0.5
27-08-00 09:00,0.6
27-08-00 08:00,0.8
27-08-00 07:00,0.6
27-08-00 06:00,
27-08-00 05:00,
27-08-00 04:00,
27-08-00 03:00,
27-08-00 02:00,
27-08-00 01:00,1.0
27-08-00 00:00,0.7
26-08-00 23:00,0.9
26-08-00 22:00,1.0
26-08-00 21:00,1.0
26-08-00 20:00,0.9
26-08-00 19:00,0.8
26-08-00 18:00,0.8
26-08-00 17:00,0.7
26-08-00 16:00,0.7
26-08-00 15:00,0.6
26-08-00 14:00,0.7
26-08-00 13:00,0.6
26-08-00 12:00,0.5
26-08-00 11:00,0.7
26-08-00 10:00,0.7
26-08-00 09:00,1.0
26-08-00 08:00,1.2
26-08-00 07:00,2.2
26-08-00 06:00,2.0
26-08-00 05:00,1.6
26-08-00 04:00,1.5
26-08-00 03:00,1.4
26-08-00 02:00,1.6
26-08-00 01:00,2.4
26-08-00 00:00,1.5
25-08-00 23:00,1.1
25-08-00 22:00,0.8
25-08-00 21:00,1.0
25-08-00 20:00,1.0
25-08-00 19:00,0.8
25-08-00 18:00,0.9
25-08-00 17:00,0.7
25-08-00 16:00,0.6
25-08-00 15:00,0.9
25-08-00 14:00,0.6
25-08-00 13:00,0.6
25-08-00 12:00,0.6
25-08-00 11:00,0.7
25-08-00 10:00,0.6
25-08-00 09:00,0.7
25-08-00 08:00,0.8
25-08-00 07:00,1.1
25-08-00 06:00,0.7
25-08-00 05:00,0.5
25-08-00 04:00,0.4
25-08-00 03:00,0.4
25-08-00 02:00,0.5
25-08-00 01:00,0.5
25-08-00 00:00,0.6
24-08-00 23:00,0.7
24-08-00 22:00,1.0
24-08-00 21:00,1.6
24-08-00 20:00,2.1
24-08-00 19:00,1.7
24-08-00 18:00,1.2
24-08-00 17:00,1.0
24-08-00 16:00,1.3
24-08-00 15:00,1.0
24-08-00 14:00,0.9
24-08-00 13:00,0.7
24-08-00 12:00,0.8
24-08-00 11:00,1.0
24-08-00 10:00,2.5
24-08-00 09:00,1.9
24-08-00 08:00,2.2
24-08-00 07:00,4.5
24-08-00 06:00,2.8
24-08-00 05:00,1.3
24-08-00 04:00,0.8
24-08-00 03:00,0.7
24-08-00 02:00,0.8
24-08-00 01:00,1.1
24-08-00 00:00,1.8
23-08-00 23:00,2.3
23-08-00 22:00,3.6
23-08-00 21:00,2.1
23-08-00 20:00,1.3
23-08-00 19:00,1.2
23-08-00 18:00,1.0
23-08-00 17:00,1.0
23-08-00 16:00,0.9
23-08-00 15:00,0.9
23-08-00 14:00,0.8
23-08-00 13:00,0.7
23-08-00 12:00,0.6
23-08-00 11:00,0.7
23-08-00 10:00,
23-08-00 09:00,
23-08-00 08:00,
23-08-00 07:00,
23-08-00 06:00,2.7
23-08-00 05:00,1.2
23-08-00 04:00,0.7
23-08-00 03:00,0.8
23-08-00 02:00,0.7
23-08-00 01:00,0.9
23-08-00 00:00,1.0
22-08-00 23:00,1.2
22-08-00 22:00,2.7
22-08-00 21:00,2.9
22-08-00 20:00,2.4
22-08-00 19:00,0.9
22-08-00 18:00,
22-08-00 17:00,
22-08-00 16:00,
22-08-00 15:00,
22-08-00 14:00,
22-08-00 13:00,
22-08-00 12:00,
22-08-00 11:00,
22-08-00 10:00,
22-08-00 09:00,
22-08-00 08:00,
22-08-00 07:00,
22-08-00 06:00,
22-08-00 05:00,
22-08-00 04:00,
22-08-00 03:00,
22-08-00 02:00,
22-08-00 01:00,
22-08-00 00:00,
21-08-00 23:00,
21-08-00 22:00,
21-08-00 21:00,
21-08-00 20:00,
21-08-00 19:00,
21-08-00 18:00,
21-08-00 17:00,
21-08-00 16:00,
21-08-00 15:00,
21-08-00 14:00,
21-08-00 13:00,
21-08-00 12:00,
21-08-00 11:00,
21-08-00 10:00,
21-08-00 09:00,
21-08-00 08:00,
21-08-00 07:00,
21-08-00 06:00,
21-08-00 05:00,
21-08-00 04:00,
21-08-00 03:00,
21-08-00 02:00,
21-08-00 01:00,
21-08-00 00:00,
20-08-00 23:00,
20-08-00 22:00,
20-08-00 21:00,
20-08-00 20:00,
20-08-00 19:00,
20-08-00 18:00,
20-08-00 17:00,
20-08-00 16:00,
20-08-00 15:00,
20-08-00 14:00,
20-08-00 13:00,
20-08-00 12:00,
20-08-00 11:00,
20-08-00 10:00,
20-08-00 09:00,
20-08-00 08:00,1.1
20-08-00 07:00,1.3
20-08-00 06:00,1.2
20-08-00 05:00,1.3
20-08-00 04:00,1.8
20-08-00 03:00,1.7
20-08-00 02:00,2.1
20-08-00 01:00,1.9
20-08-00 00:00,
19-08-00 23:00,
19-08-00 22:00,
19-08-00 21:00,
19-08-00 20:00,
19-08-00 19:00,
19-08-00 18:00,
19-08-00 17:00,
19-08-00 16:00,
19-08-00 15:00,
19-08-00 14:00,
19-08-00 13:00,
19-08-00 12:00,
19-08-00 11:00,
19-08-00 10:00,
19-08-00 09:00,
19-08-00 08:00,
19-08-00 07:00,
19-08-00 06:00,
19-08-00 05:00,
19-08-00 04:00,
19-08-00 03:00,
19-08-00 02:00,
19-08-00 01:00,
19-08-00 00:00,
18-08-00 23:00,
18-08-00 22:00,
18-08-00 21:00,
18-08-00 20:00,
18-08-00 19:00,
18-08-00 18:00,
