Datum Zeit,Schkeuditz NO
,µg/m³
01-11-08 00:00,1
31-10-08 23:00,2
31-10-08 22:00,2
31-10-08 21:00,1
31-10-08 20:00,3
31-10-08 19:00,1
31-10-08 18:00,1
31-10-08 17:00,1
31-10-08 16:00,1
31-10-08 15:00,1
31-10-08 14:00,2
31-10-08 13:00,8
31-10-08 12:00,5
31-10-08 11:00,6
31-10-08 10:00,10
31-10-08 09:00,9
31-10-08 08:00,8
31-10-08 07:00,7
31-10-08 06:00,1
31-10-08 05:00,1
31-10-08 04:00,1
31-10-08 03:00,4
31-10-08 02:00,1
31-10-08 01:00,1
31-10-08 00:00,1
30-10-08 23:00,1
30-10-08 22:00,1
30-10-08 21:00,1
30-10-08 20:00,1
30-10-08 19:00,1
30-10-08 18:00,1
30-10-08 17:00,2
30-10-08 16:00,2
30-10-08 15:00,2
30-10-08 14:00,2
30-10-08 13:00,1
30-10-08 12:00,2
30-10-08 11:00,4
30-10-08 10:00,4
30-10-08 09:00,13
30-10-08 08:00,5
30-10-08 07:00,4
30-10-08 06:00,1
30-10-08 05:00,1
30-10-08 04:00,1
30-10-08 03:00,1
30-10-08 02:00,1
30-10-08 01:00,1
30-10-08 00:00,1
29-10-08 23:00,1
29-10-08 22:00,1
29-10-08 21:00,1
29-10-08 20:00,1
29-10-08 19:00,1
29-10-08 18:00,1
29-10-08 17:00,4
29-10-08 16:00,22
29-10-08 15:00,16
29-10-08 14:00,10
29-10-08 13:00,25
29-10-08 12:00,19
29-10-08 11:00,10
29-10-08 10:00,10
29-10-08 09:00,9
29-10-08 08:00,18
29-10-08 07:00,12
29-10-08 06:00,5
29-10-08 05:00,2
29-10-08 04:00,1
29-10-08 03:00,1
29-10-08 02:00,1
29-10-08 01:00,1
29-10-08 00:00,1
28-10-08 23:00,1
28-10-08 22:00,1
28-10-08 21:00,6
28-10-08 20:00,8
28-10-08 19:00,4
28-10-08 18:00,4
28-10-08 17:00,3
28-10-08 16:00,3
28-10-08 15:00,4
28-10-08 14:00,5
28-10-08 13:00,5
28-10-08 12:00,7
28-10-08 11:00,9
28-10-08 10:00,25
28-10-08 09:00,36
28-10-08 08:00,21
28-10-08 07:00,10
28-10-08 06:00,1
28-10-08 05:00,1
28-10-08 04:00,1
28-10-08 03:00,1
28-10-08 02:00,1
28-10-08 01:00,1
28-10-08 00:00,1
27-10-08 23:00,1
27-10-08 22:00,1
27-10-08 21:00,1
27-10-08 20:00,1
27-10-08 19:00,1
27-10-08 18:00,1
27-10-08 17:00,1
27-10-08 16:00,4
27-10-08 15:00,5
27-10-08 14:00,10
27-10-08 13:00,5
27-10-08 12:00,6
27-10-08 11:00,5
27-10-08 10:00,4
27-10-08 09:00,6
27-10-08 08:00,2
27-10-08 07:00,1
27-10-08 06:00,1
27-10-08 05:00,1
27-10-08 04:00,1
27-10-08 03:00,1
27-10-08 02:00,1
27-10-08 01:00,1
27-10-08 00:00,1
26-10-08 23:00,1
26-10-08 22:00,1
26-10-08 21:00,1
26-10-08 20:00,1
26-10-08 19:00,1
26-10-08 18:00,1
26-10-08 17:00,1
26-10-08 16:00,1
26-10-08 15:00,1
26-10-08 14:00,1
26-10-08 13:00,1
26-10-08 12:00,1
26-10-08 11:00,2
26-10-08 10:00,2
26-10-08 09:00,1
26-10-08 08:00,1
26-10-08 07:00,1
26-10-08 06:00,1
26-10-08 05:00,3
26-10-08 04:00,1
26-10-08 03:00,1
26-10-08 02:00,1
26-10-08 01:00,1
26-10-08 00:00,1
25-10-08 23:00,2
25-10-08 22:00,7
25-10-08 21:00,8
25-10-08 20:00,13
25-10-08 19:00,2
25-10-08 18:00,1
25-10-08 17:00,1
25-10-08 16:00,3
25-10-08 15:00,3
25-10-08 14:00,4
25-10-08 13:00,6
25-10-08 12:00,8
25-10-08 11:00,11
25-10-08 10:00,22
25-10-08 09:00,18
25-10-08 08:00,16
25-10-08 07:00,12
25-10-08 06:00,4
25-10-08 05:00,1
25-10-08 04:00,1
25-10-08 03:00,1
25-10-08 02:00,1
25-10-08 01:00,1
25-10-08 00:00,1
24-10-08 23:00,5
24-10-08 22:00,1
24-10-08 21:00,9
24-10-08 20:00,10
24-10-08 19:00,4
24-10-08 18:00,1
24-10-08 17:00,2
24-10-08 16:00,2
24-10-08 15:00,4
24-10-08 14:00,
24-10-08 13:00,5
24-10-08 12:00,7
24-10-08 11:00,8
24-10-08 10:00,14
24-10-08 09:00,15
24-10-08 08:00,34
24-10-08 07:00,15
24-10-08 06:00,4
24-10-08 05:00,2
24-10-08 04:00,3
24-10-08 03:00,1
24-10-08 02:00,2
24-10-08 01:00,1
24-10-08 00:00,1
23-10-08 23:00,1
23-10-08 22:00,1
23-10-08 21:00,1
23-10-08 20:00,1
23-10-08 19:00,5
23-10-08 18:00,1
23-10-08 17:00,1
23-10-08 16:00,2
23-10-08 15:00,4
23-10-08 14:00,7
23-10-08 13:00,8
23-10-08 12:00,11
23-10-08 11:00,15
23-10-08 10:00,21
23-10-08 09:00,34
23-10-08 08:00,28
23-10-08 07:00,15
23-10-08 06:00,9
23-10-08 05:00,1
23-10-08 04:00,1
23-10-08 03:00,1
23-10-08 02:00,1
23-10-08 01:00,1
23-10-08 00:00,1
22-10-08 23:00,1
22-10-08 22:00,1
22-10-08 21:00,1
