Datum Zeit,Leipzig-West BEN
,µg/m³
01-09-01 00:00,3.6
31-08-01 23:00,3.5
31-08-01 22:00,3.3
31-08-01 21:00,2.2
31-08-01 20:00,1.3
31-08-01 19:00,1.2
31-08-01 18:00,0.9
31-08-01 17:00,0.9
31-08-01 16:00,1.9
31-08-01 15:00,1.7
31-08-01 14:00,1.7
31-08-01 13:00,1.7
31-08-01 12:00,1.5
31-08-01 11:00,1.7
31-08-01 10:00,1.6
31-08-01 09:00,1.5
31-08-01 08:00,1.2
31-08-01 07:00,1.6
31-08-01 06:00,1.6
31-08-01 05:00,2.0
31-08-01 04:00,1.3
31-08-01 03:00,1.3
31-08-01 02:00,1.2
31-08-01 01:00,0.7
31-08-01 00:00,0.6
30-08-01 23:00,0.6
30-08-01 22:00,0.7
30-08-01 21:00,0.9
30-08-01 20:00,1.0
30-08-01 19:00,1.1
30-08-01 18:00,0.8
30-08-01 17:00,0.9
30-08-01 16:00,0.8
30-08-01 15:00,1.4
30-08-01 14:00,0.7
30-08-01 13:00,0.6
30-08-01 12:00,0.6
30-08-01 11:00,0.6
30-08-01 10:00,0.7
30-08-01 09:00,1.0
30-08-01 08:00,1.5
30-08-01 07:00,1.7
30-08-01 06:00,1.0
30-08-01 05:00,0.6
30-08-01 04:00,0.5
30-08-01 03:00,0.6
30-08-01 02:00,0.7
30-08-01 01:00,0.9
30-08-01 00:00,1.8
29-08-01 23:00,1.8
29-08-01 22:00,1.4
29-08-01 21:00,1.2
29-08-01 20:00,0.9
29-08-01 19:00,0.8
29-08-01 18:00,0.4
29-08-01 17:00,0.4
29-08-01 16:00,0.6
29-08-01 15:00,0.4
29-08-01 14:00,0.4
29-08-01 13:00,0.4
29-08-01 12:00,0.4
29-08-01 11:00,0.3
29-08-01 10:00,0.4
29-08-01 09:00,0.4
29-08-01 08:00,0.5
29-08-01 07:00,0.5
29-08-01 06:00,0.5
29-08-01 05:00,0.3
29-08-01 04:00,0.1
29-08-01 03:00,0.2
29-08-01 02:00,0.3
29-08-01 01:00,
29-08-01 00:00,
28-08-01 23:00,
28-08-01 22:00,
28-08-01 21:00,0.4
28-08-01 20:00,0.6
28-08-01 19:00,0.6
28-08-01 18:00,0.3
28-08-01 17:00,0.4
28-08-01 16:00,0.4
28-08-01 15:00,0.4
28-08-01 14:00,0.5
28-08-01 13:00,0.3
28-08-01 12:00,0.3
28-08-01 11:00,0.3
28-08-01 10:00,0.4
28-08-01 09:00,0.5
28-08-01 08:00,0.8
28-08-01 07:00,1.3
28-08-01 06:00,1.3
28-08-01 05:00,0.6
28-08-01 04:00,0.2
28-08-01 03:00,0.1
28-08-01 02:00,0.3
28-08-01 01:00,0.3
28-08-01 00:00,0.2
27-08-01 23:00,0.3
27-08-01 22:00,0.3
27-08-01 21:00,0.4
27-08-01 20:00,0.4
27-08-01 19:00,0.4
27-08-01 18:00,0.4
27-08-01 17:00,0.4
27-08-01 16:00,0.4
27-08-01 15:00,0.3
27-08-01 14:00,0.6
27-08-01 13:00,0.6
27-08-01 12:00,0.8
27-08-01 11:00,0.8
27-08-01 10:00,0.9
27-08-01 09:00,1.0
27-08-01 08:00,1.4
27-08-01 07:00,2.8
27-08-01 06:00,1.4
27-08-01 05:00,1.2
27-08-01 04:00,1.2
27-08-01 03:00,1.5
27-08-01 02:00,1.7
27-08-01 01:00,1.9
27-08-01 00:00,1.9
26-08-01 23:00,3.2
26-08-01 22:00,3.4
26-08-01 21:00,2.6
26-08-01 20:00,2.0
26-08-01 19:00,1.1
26-08-01 18:00,0.7
26-08-01 17:00,1.0
26-08-01 16:00,1.2
26-08-01 15:00,1.0
26-08-01 14:00,1.2
26-08-01 13:00,1.4
26-08-01 12:00,1.2
26-08-01 11:00,1.2
26-08-01 10:00,0.9
26-08-01 09:00,0.9
26-08-01 08:00,0.5
26-08-01 07:00,0.2
26-08-01 06:00,0.4
26-08-01 05:00,1.3
26-08-01 04:00,1.4
26-08-01 03:00,1.5
26-08-01 02:00,1.4
26-08-01 01:00,1.5
26-08-01 00:00,1.7
25-08-01 23:00,1.6
25-08-01 22:00,1.8
25-08-01 21:00,1.8
25-08-01 20:00,1.3
25-08-01 19:00,1.1
25-08-01 18:00,1.1
25-08-01 17:00,1.0
25-08-01 16:00,1.1
25-08-01 15:00,1.1
25-08-01 14:00,1.3
25-08-01 13:00,1.3
25-08-01 12:00,1.7
25-08-01 11:00,1.3
25-08-01 10:00,1.6
25-08-01 09:00,1.7
25-08-01 08:00,1.2
25-08-01 07:00,1.3
25-08-01 06:00,
25-08-01 05:00,
25-08-01 04:00,
25-08-01 03:00,
25-08-01 02:00,1.6
25-08-01 01:00,3.0
25-08-01 00:00,2.3
24-08-01 23:00,2.9
24-08-01 22:00,2.4
24-08-01 21:00,2.1
24-08-01 20:00,1.8
24-08-01 19:00,1.8
24-08-01 18:00,1.5
24-08-01 17:00,1.4
24-08-01 16:00,1.3
24-08-01 15:00,1.5
24-08-01 14:00,1.4
24-08-01 13:00,1.2
24-08-01 12:00,1.3
24-08-01 11:00,1.4
24-08-01 10:00,1.4
24-08-01 09:00,2.4
24-08-01 08:00,1.5
24-08-01 07:00,3.0
24-08-01 06:00,2.1
24-08-01 05:00,1.1
24-08-01 04:00,1.1
24-08-01 03:00,1.0
24-08-01 02:00,1.1
24-08-01 01:00,1.1
24-08-01 00:00,1.0
23-08-01 23:00,1.1
23-08-01 22:00,1.3
23-08-01 21:00,1.7
23-08-01 20:00,1.6
23-08-01 19:00,4.7
23-08-01 18:00,1.0
23-08-01 17:00,0.8
23-08-01 16:00,0.8
23-08-01 15:00,0.9
23-08-01 14:00,0.8
23-08-01 13:00,1.1
23-08-01 12:00,1.3
23-08-01 11:00,1.3
23-08-01 10:00,1.7
23-08-01 09:00,1.6
23-08-01 08:00,2.0
23-08-01 07:00,1.6
23-08-01 06:00,1.6
23-08-01 05:00,0.9
23-08-01 04:00,0.8
23-08-01 03:00,0.8
23-08-01 02:00,0.8
23-08-01 01:00,0.9
23-08-01 00:00,1.3
22-08-01 23:00,1.3
22-08-01 22:00,1.0
22-08-01 21:00,1.0
22-08-01 20:00,0.9
22-08-01 19:00,0.8
22-08-01 18:00,0.7
22-08-01 17:00,0.6
22-08-01 16:00,0.7
22-08-01 15:00,0.7
22-08-01 14:00,0.7
22-08-01 13:00,0.8
22-08-01 12:00,0.7
22-08-01 11:00,1.1
22-08-01 10:00,1.0
22-08-01 09:00,0.9
22-08-01 08:00,1.1
22-08-01 07:00,1.0
22-08-01 06:00,1.2
22-08-01 05:00,0.8
22-08-01 04:00,0.8
22-08-01 03:00,0.8
22-08-01 02:00,0.8
22-08-01 01:00,0.9
22-08-01 00:00,1.3
21-08-01 23:00,1.4
21-08-01 22:00,1.3
21-08-01 21:00,1.0
21-08-01 20:00,0.7
21-08-01 19:00,0.6
21-08-01 18:00,0.6
21-08-01 17:00,0.5
21-08-01 16:00,0.5
21-08-01 15:00,0.5
21-08-01 14:00,0.7
21-08-01 13:00,0.8
21-08-01 12:00,0.7
21-08-01 11:00,
21-08-01 10:00,
21-08-01 09:00,
21-08-01 08:00,
21-08-01 07:00,0.6
21-08-01 06:00,0.8
21-08-01 05:00,0.5
21-08-01 04:00,0.7
21-08-01 03:00,0.6
21-08-01 02:00,0.5
21-08-01 01:00,0.5
21-08-01 00:00,0.5
20-08-01 23:00,0.4
20-08-01 22:00,0.5
20-08-01 21:00,0.4
20-08-01 20:00,0.6
20-08-01 19:00,0.5
20-08-01 18:00,0.7
20-08-01 17:00,0.7
20-08-01 16:00,0.7
20-08-01 15:00,0.6
20-08-01 14:00,0.8
20-08-01 13:00,0.7
20-08-01 12:00,0.7
20-08-01 11:00,1.3
20-08-01 10:00,1.9
20-08-01 09:00,2.3
20-08-01 08:00,2.3
20-08-01 07:00,1.7
20-08-01 06:00,1.2
20-08-01 05:00,1.1
20-08-01 04:00,1.1
20-08-01 03:00,1.2
20-08-01 02:00,1.1
20-08-01 01:00,1.1
20-08-01 00:00,1.1
19-08-01 23:00,1.4
19-08-01 22:00,1.4
19-08-01 21:00,1.7
19-08-01 20:00,1.5
19-08-01 19:00,1.5
19-08-01 18:00,1.0
19-08-01 17:00,0.7
19-08-01 16:00,0.9
19-08-01 15:00,0.7
19-08-01 14:00,0.8
19-08-01 13:00,1.2
19-08-01 12:00,1.4
19-08-01 11:00,1.6
19-08-01 10:00,1.8
19-08-01 09:00,5.6
19-08-01 08:00,3.6
19-08-01 07:00,1.7
19-08-01 06:00,1.1
19-08-01 05:00,1.9
19-08-01 04:00,1.2
19-08-01 03:00,0.8
19-08-01 02:00,0.8
19-08-01 01:00,0.8
19-08-01 00:00,0.8
18-08-01 23:00,0.8
18-08-01 22:00,0.8
18-08-01 21:00,0.7
18-08-01 20:00,0.7
18-08-01 19:00,0.7
18-08-01 18:00,0.6
18-08-01 17:00,0.6
18-08-01 16:00,0.6
18-08-01 15:00,0.6
18-08-01 14:00,0.6
18-08-01 13:00,0.8
18-08-01 12:00,0.7
18-08-01 11:00,0.8
18-08-01 10:00,0.7
18-08-01 09:00,0.7
18-08-01 08:00,0.6
18-08-01 07:00,0.6
18-08-01 06:00,0.6
18-08-01 05:00,0.6
18-08-01 04:00,0.6
18-08-01 03:00,0.6
18-08-01 02:00,0.7
18-08-01 01:00,0.9
18-08-01 00:00,0.9
17-08-01 23:00,1.0
17-08-01 22:00,1.2
17-08-01 21:00,1.1
17-08-01 20:00,0.9
17-08-01 19:00,1.0
17-08-01 18:00,0.6
17-08-01 17:00,0.7
17-08-01 16:00,
17-08-01 15:00,
17-08-01 14:00,
17-08-01 13:00,
17-08-01 12:00,
17-08-01 11:00,
17-08-01 10:00,
17-08-01 09:00,
17-08-01 08:00,
17-08-01 07:00,
17-08-01 06:00,
17-08-01 05:00,
17-08-01 04:00,
17-08-01 03:00,
17-08-01 02:00,
17-08-01 01:00,
17-08-01 00:00,
16-08-01 23:00,
16-08-01 22:00,
16-08-01 21:00,
16-08-01 20:00,
16-08-01 19:00,
16-08-01 18:00,
16-08-01 17:00,0.8
16-08-01 16:00,0.9
16-08-01 15:00,1.0
16-08-01 14:00,1.1
16-08-01 13:00,1.0
16-08-01 12:00,
16-08-01 11:00,
16-08-01 10:00,
16-08-01 09:00,
16-08-01 08:00,1.6
16-08-01 07:00,2.8
16-08-01 06:00,2.4
16-08-01 05:00,1.7
16-08-01 04:00,1.8
16-08-01 03:00,1.8
16-08-01 02:00,
16-08-01 01:00,
16-08-01 00:00,
15-08-01 23:00,
15-08-01 22:00,
15-08-01 21:00,
15-08-01 20:00,
15-08-01 19:00,
15-08-01 18:00,
15-08-01 17:00,0.8
15-08-01 16:00,0.8
15-08-01 15:00,1.7
15-08-01 14:00,2.0
15-08-01 13:00,2.8
15-08-01 12:00,1.7
15-08-01 11:00,2.0
15-08-01 10:00,6.9
15-08-01 09:00,10.7
15-08-01 08:00,3.9
15-08-01 07:00,6.1
15-08-01 06:00,2.9
15-08-01 05:00,2.2
15-08-01 04:00,2.2
15-08-01 03:00,1.5
15-08-01 02:00,1.6
15-08-01 01:00,1.0
15-08-01 00:00,1.1
14-08-01 23:00,1.3
14-08-01 22:00,1.7
14-08-01 21:00,2.2
14-08-01 20:00,2.3
14-08-01 19:00,4.5
14-08-01 18:00,4.2
14-08-01 17:00,1.1
14-08-01 16:00,0.8
14-08-01 15:00,0.6
14-08-01 14:00,0.6
14-08-01 13:00,0.7
14-08-01 12:00,0.7
14-08-01 11:00,0.7
14-08-01 10:00,0.7
14-08-01 09:00,1.0
14-08-01 08:00,1.3
14-08-01 07:00,2.0
14-08-01 06:00,1.7
14-08-01 05:00,1.0
14-08-01 04:00,0.8
14-08-01 03:00,0.9
14-08-01 02:00,1.3
14-08-01 01:00,2.0
14-08-01 00:00,3.0
13-08-01 23:00,4.2
13-08-01 22:00,4.1
13-08-01 21:00,4.7
13-08-01 20:00,5.0
13-08-01 19:00,3.0
13-08-01 18:00,2.6
13-08-01 17:00,1.7
13-08-01 16:00,1.3
13-08-01 15:00,1.5
13-08-01 14:00,1.4
13-08-01 13:00,1.2
13-08-01 12:00,1.1
