Datum Zeit,Freiberg O3
,µg/m³
01-03-03 00:00,27
28-02-03 23:00,7
28-02-03 22:00,8
28-02-03 21:00,11
28-02-03 20:00,6
28-02-03 19:00,3
28-02-03 18:00,4
28-02-03 17:00,37
28-02-03 16:00,54
28-02-03 15:00,62
28-02-03 14:00,53
28-02-03 13:00,55
28-02-03 12:00,68
28-02-03 11:00,60
28-02-03 10:00,42
28-02-03 09:00,6
28-02-03 08:00,5
28-02-03 07:00,6
28-02-03 06:00,15
28-02-03 05:00,44
28-02-03 04:00,65
28-02-03 03:00,71
28-02-03 02:00,76
28-02-03 01:00,54
28-02-03 00:00,34
27-02-03 23:00,29
27-02-03 22:00,36
27-02-03 21:00,23
27-02-03 20:00,16
27-02-03 19:00,6
27-02-03 18:00,11
27-02-03 17:00,67
27-02-03 16:00,83
27-02-03 15:00,75
27-02-03 14:00,87
27-02-03 13:00,90
27-02-03 12:00,72
27-02-03 11:00,66
27-02-03 10:00,66
27-02-03 09:00,62
27-02-03 08:00,61
27-02-03 07:00,66
27-02-03 06:00,67
27-02-03 05:00,63
27-02-03 04:00,71
27-02-03 03:00,75
27-02-03 02:00,81
27-02-03 01:00,82
27-02-03 00:00,78
26-02-03 23:00,73
26-02-03 22:00,68
26-02-03 21:00,76
26-02-03 20:00,60
26-02-03 19:00,54
26-02-03 18:00,48
26-02-03 17:00,65
26-02-03 16:00,76
26-02-03 15:00,83
26-02-03 14:00,86
26-02-03 13:00,89
26-02-03 12:00,97
26-02-03 11:00,82
26-02-03 10:00,78
26-02-03 09:00,74
26-02-03 08:00,56
26-02-03 07:00,73
26-02-03 06:00,21
26-02-03 05:00,43
26-02-03 04:00,80
26-02-03 03:00,76
26-02-03 02:00,78
26-02-03 01:00,76
26-02-03 00:00,53
25-02-03 23:00,59
25-02-03 22:00,86
25-02-03 21:00,61
25-02-03 20:00,48
25-02-03 19:00,85
25-02-03 18:00,77
25-02-03 17:00,76
25-02-03 16:00,73
25-02-03 15:00,89
25-02-03 14:00,108
25-02-03 13:00,94
25-02-03 12:00,76
25-02-03 11:00,68
25-02-03 10:00,19
25-02-03 09:00,7
25-02-03 08:00,7
25-02-03 07:00,5
25-02-03 06:00,13
25-02-03 05:00,43
25-02-03 04:00,47
25-02-03 03:00,66
25-02-03 02:00,69
25-02-03 01:00,55
25-02-03 00:00,41
24-02-03 23:00,60
24-02-03 22:00,56
24-02-03 21:00,49
24-02-03 20:00,23
24-02-03 19:00,8
24-02-03 18:00,23
24-02-03 17:00,50
24-02-03 16:00,71
24-02-03 15:00,76
24-02-03 14:00,83
24-02-03 13:00,87
24-02-03 12:00,72
24-02-03 11:00,62
24-02-03 10:00,51
24-02-03 09:00,33
24-02-03 08:00,20
24-02-03 07:00,35
24-02-03 06:00,66
24-02-03 05:00,76
24-02-03 04:00,72
24-02-03 03:00,63
24-02-03 02:00,67
24-02-03 01:00,71
24-02-03 00:00,84
23-02-03 23:00,69
23-02-03 22:00,29
23-02-03 21:00,14
23-02-03 20:00,65
23-02-03 19:00,64
23-02-03 18:00,66
23-02-03 17:00,85
23-02-03 16:00,102
23-02-03 15:00,104
23-02-03 14:00,108
23-02-03 13:00,102
23-02-03 12:00,92
23-02-03 11:00,84
23-02-03 10:00,63
23-02-03 09:00,19
23-02-03 08:00,21
23-02-03 07:00,29
23-02-03 06:00,29
23-02-03 05:00,16
23-02-03 04:00,10
23-02-03 03:00,8
23-02-03 02:00,37
23-02-03 01:00,16
23-02-03 00:00,38
22-02-03 23:00,82
22-02-03 22:00,87
22-02-03 21:00,77
22-02-03 20:00,72
22-02-03 19:00,59
22-02-03 18:00,72
22-02-03 17:00,85
22-02-03 16:00,85
22-02-03 15:00,86
22-02-03 14:00,92
22-02-03 13:00,88
22-02-03 12:00,84
22-02-03 11:00,64
22-02-03 10:00,26
22-02-03 09:00,7
22-02-03 08:00,5
22-02-03 07:00,3
22-02-03 06:00,4
22-02-03 05:00,17
22-02-03 04:00,25
22-02-03 03:00,19
22-02-03 02:00,16
22-02-03 01:00,16
22-02-03 00:00,15
21-02-03 23:00,33
21-02-03 22:00,30
21-02-03 21:00,10
21-02-03 20:00,9
21-02-03 19:00,17
21-02-03 18:00,15
21-02-03 17:00,23
21-02-03 16:00,28
21-02-03 15:00,30
21-02-03 14:00,33
21-02-03 13:00,31
21-02-03 12:00,27
21-02-03 11:00,21
21-02-03 10:00,18
21-02-03 09:00,12
21-02-03 08:00,5
21-02-03 07:00,3
21-02-03 06:00,3
21-02-03 05:00,6
21-02-03 04:00,10
21-02-03 03:00,17
21-02-03 02:00,19
21-02-03 01:00,18
21-02-03 00:00,23
20-02-03 23:00,24
20-02-03 22:00,19
20-02-03 21:00,6
20-02-03 20:00,5
20-02-03 19:00,9
20-02-03 18:00,15
20-02-03 17:00,25
20-02-03 16:00,28
20-02-03 15:00,36
20-02-03 14:00,37
20-02-03 13:00,38
20-02-03 12:00,36
20-02-03 11:00,39
20-02-03 10:00,35
20-02-03 09:00,31
20-02-03 08:00,31
20-02-03 07:00,33
20-02-03 06:00,41
20-02-03 05:00,40
20-02-03 04:00,42
20-02-03 03:00,47
20-02-03 02:00,41
20-02-03 01:00,39
20-02-03 00:00,36
19-02-03 23:00,37
19-02-03 22:00,37
19-02-03 21:00,36
19-02-03 20:00,38
19-02-03 19:00,32
19-02-03 18:00,34
19-02-03 17:00,33
19-02-03 16:00,39
19-02-03 15:00,35
19-02-03 14:00,36
19-02-03 13:00,35
19-02-03 12:00,36
19-02-03 11:00,28
19-02-03 10:00,25
19-02-03 09:00,30
19-02-03 08:00,25
19-02-03 07:00,28
19-02-03 06:00,42
19-02-03 05:00,50
19-02-03 04:00,53
19-02-03 03:00,54
19-02-03 02:00,51
19-02-03 01:00,53
19-02-03 00:00,54
18-02-03 23:00,51
18-02-03 22:00,51
