Datum Zeit,Annaberg-Buchholz NO
,µg/m³
01-02-18 00:00,
31-01-18 23:00,
31-01-18 22:00,
31-01-18 21:00,
31-01-18 20:00,
31-01-18 19:00,
31-01-18 18:00,
31-01-18 17:00,
31-01-18 16:00,
31-01-18 15:00,
31-01-18 14:00,
31-01-18 13:00,
31-01-18 12:00,
31-01-18 11:00,
31-01-18 10:00,
31-01-18 09:00,
31-01-18 08:00,
31-01-18 07:00,
31-01-18 06:00,
31-01-18 05:00,
31-01-18 04:00,
31-01-18 03:00,
31-01-18 02:00,
31-01-18 01:00,
31-01-18 00:00,
30-01-18 23:00,
30-01-18 22:00,
30-01-18 21:00,
30-01-18 20:00,
30-01-18 19:00,
30-01-18 18:00,
30-01-18 17:00,
30-01-18 16:00,
30-01-18 15:00,
30-01-18 14:00,
30-01-18 13:00,
30-01-18 12:00,
30-01-18 11:00,
30-01-18 10:00,
30-01-18 09:00,
30-01-18 08:00,
30-01-18 07:00,
30-01-18 06:00,
30-01-18 05:00,
30-01-18 04:00,
30-01-18 03:00,
30-01-18 02:00,
30-01-18 01:00,
30-01-18 00:00,
29-01-18 23:00,
29-01-18 22:00,
29-01-18 21:00,
29-01-18 20:00,
29-01-18 19:00,
29-01-18 18:00,
29-01-18 17:00,
29-01-18 16:00,
29-01-18 15:00,
29-01-18 14:00,
29-01-18 13:00,
29-01-18 12:00,
29-01-18 11:00,
29-01-18 10:00,
29-01-18 09:00,
29-01-18 08:00,
29-01-18 07:00,
29-01-18 06:00,
29-01-18 05:00,
29-01-18 04:00,
29-01-18 03:00,
29-01-18 02:00,
29-01-18 01:00,
29-01-18 00:00,
28-01-18 23:00,
28-01-18 22:00,
28-01-18 21:00,
28-01-18 20:00,
28-01-18 19:00,
28-01-18 18:00,
28-01-18 17:00,3
28-01-18 16:00,2
28-01-18 15:00,3
28-01-18 14:00,2
28-01-18 13:00,2
28-01-18 12:00,2
28-01-18 11:00,1
28-01-18 10:00,2
28-01-18 09:00,1
28-01-18 08:00,1
28-01-18 07:00,1
28-01-18 06:00,1
28-01-18 05:00,1
28-01-18 04:00,1
28-01-18 03:00,1
28-01-18 02:00,1
28-01-18 01:00,2
28-01-18 00:00,5
27-01-18 23:00,3
27-01-18 22:00,14
27-01-18 21:00,20
27-01-18 20:00,22
27-01-18 19:00,21
27-01-18 18:00,33
27-01-18 17:00,17
27-01-18 16:00,13
27-01-18 15:00,8
27-01-18 14:00,12
27-01-18 13:00,9
27-01-18 12:00,17
27-01-18 11:00,17
27-01-18 10:00,17
27-01-18 09:00,9
27-01-18 08:00,12
27-01-18 07:00,4
27-01-18 06:00,3
27-01-18 05:00,2
27-01-18 04:00,1
27-01-18 03:00,1
27-01-18 02:00,1
27-01-18 01:00,1
27-01-18 00:00,1
26-01-18 23:00,3
26-01-18 22:00,6
26-01-18 21:00,13
26-01-18 20:00,21
26-01-18 19:00,27
26-01-18 18:00,23
26-01-18 17:00,16
26-01-18 16:00,24
26-01-18 15:00,21
26-01-18 14:00,14
26-01-18 13:00,43
26-01-18 12:00,45
26-01-18 11:00,47
26-01-18 10:00,62
26-01-18 09:00,65
26-01-18 08:00,41
26-01-18 07:00,48
26-01-18 06:00,32
26-01-18 05:00,4
26-01-18 04:00,2
26-01-18 03:00,1
26-01-18 02:00,1
26-01-18 01:00,7
26-01-18 00:00,8
25-01-18 23:00,14
25-01-18 22:00,25
25-01-18 21:00,17
25-01-18 20:00,18
25-01-18 19:00,28
25-01-18 18:00,36
25-01-18 17:00,63
25-01-18 16:00,31
25-01-18 15:00,
25-01-18 14:00,
25-01-18 13:00,
25-01-18 12:00,
25-01-18 11:00,29
25-01-18 10:00,71
25-01-18 09:00,107
25-01-18 08:00,91
25-01-18 07:00,41
25-01-18 06:00,12
25-01-18 05:00,3
25-01-18 04:00,1
25-01-18 03:00,1
25-01-18 02:00,1
