Datum Zeit,Borna PM2.5
,µg/m³
30-09-16,
29-09-16,
28-09-16,
27-09-16,
26-09-16,
25-09-16,
24-09-16,
23-09-16,
22-09-16,
21-09-16,
20-09-16,
19-09-16,
18-09-16,
17-09-16,
16-09-16,
15-09-16,
14-09-16,
13-09-16,
12-09-16,
11-09-16,
10-09-16,
09-09-16,
08-09-16,
07-09-16,
06-09-16,
05-09-16,
04-09-16,
03-09-16,
02-09-16,
01-09-16,

